sound.files,selec.file,channel,selec,start,end,Year,Country,Region,site,full_site_nm,Latitude,Longitude,Individual,OLDCall_Type_DONTUSE,Call_Type,site_year,Visual_Quality_Score,Cable_Overlaps,Overlapping_Signal,sampling_rate,bit,bottom.freq,top.freq,wavdur
2016_06_03_AM_TIVI_AT_B1_C10.wav,NA,1,1,0.249189892,0.575621907,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.326432015
2016_06_03_AM_TIVI_AT_B1_C11.wav,NA,1,1,0.305663281,0.54503439,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.239371109
2016_06_03_AM_TIVI_AT_B1_C12.wav,NA,1,1,0.258024282,0.499462549,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.241438267
2016_06_03_AM_TIVI_AT_B1_C2.wav,NA,1,1,0.176762379,0.445822484,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.269060105
2016_06_03_AM_TIVI_AT_B1_C3.wav,NA,1,1,0.228332401,0.454183108,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.225850707
2016_06_03_AM_TIVI_AT_B1_C4.wav,NA,1,1,0.227458526,0.488789897,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.261331371
2016_06_03_AM_TIVI_AT_B1_C5.wav,NA,1,1,0.239564181,0.47069412,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.231129939
2016_06_03_AM_TIVI_AT_B1_C6.wav,NA,1,1,0.322096356,0.564012611,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.241916255
2016_06_03_AM_TIVI_AT_B1_C7.wav,NA,1,1,0.221770875,0.648838041,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.427067166
2016_06_03_AM_TIVI_AT_B1_C8.wav,NA,1,1,0.230216797,0.464457928,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.234241131
2016_06_03_AM_TIVI_AT_B1_C9.wav,NA,1,1,0.278647432,0.504936361,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B1,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.226288929
2016_06_03_AM_TIVI_AT_B2_C1.wav,NA,1,1,0.354748376,0.69115725,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B2,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.336408874
2016_06_03_AM_TIVI_AT_B2_C2.wav,NA,1,1,0.465944154,0.920845196,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B2,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.454901042
2016_06_03_AM_TIVI_AT_B2_C3.wav,NA,1,1,0.319731923,0.719680661,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B2,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.399948738
2016_06_03_AM_TIVI_AT_B2_C4.wav,NA,1,1,0.409311318,0.952835136,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B2,Curu,South,TIVI-2016,H,N,N,22050,16,0.5,2.5,0.543523818
2016_06_03_AM_TIVI_AT_B2_C5.wav,NA,1,1,0.399077091,0.858186475,2016,Costa_Rica,Southern,TIVI,Tivives,09 53 09.7,084 41 0.90,B2,Curu,South,TIVI-2016,M,N,NA,22050,16,0.5,2.5,0.459109384
